Keyword,Store,Pop,Diff,Rank,Verdict,Reason
acompanhar introdução alimentar,br,5,5,OUT,FIT,diario de introducao alimentar (registro+reacao+meta 100)
alergia alimentar bebê,br,5,11,OUT,FIT,flag alergenico + reacao por nivel no diario
alergênicos bebê,br,5,5,OUT,FIT,allergens_screen + flags no catalogo
alimentação bebê,br,5,43,OUT,FIT,alimentacao do bebe = escopo exato
alimentação bebê 6 meses,br,5,5,OUT,FIT,escopo exato por idade
alimentação bebês,br,5,42,OUT,FIT,escopo exato
alimentação blw,br,5,15,OUT,FIT,escopo + metodo
alimentação complementar,br,5,18,OUT,FIT,termo tecnico PT do nicho exato
alimentação do bebê,br,5,42,OUT,FIT,escopo exato
app blw,br,5,45,OUT,FIT,"token 'app' proibido (memoria do lab) — intencao FIT, mas nunca compor o token"
app introdução alimentar,br,5,11,16,FIT,"token 'app' proibido (memoria do lab) — intencao FIT, mas nunca compor o token"
baby first foods,br,5,24,34,FIT,catalogo 120 alimentos por idade/categoria com preparo + meta 100
baby food,br,8,7,68,FIT,baby food = comida de bebe; catalogo+receitas entregam
baby food tracker,br,5,42,62,FIT,diario de introducao alimentar (registro+reacao+meta 100)
baby introdução,br,5,9,8,FIT,compose brand+nicho — mesma intencao do nucleo
baby introdução alimentar,br,5,9,7,FIT,compose brand+nicho
baby led weaning,br,7,9,17,FIT,expansao exata do nosso nome EN
baby led weaning app,br,7,9,17,FIT,"token 'app' proibido (memoria do lab) — intencao FIT, mas nunca compor o token"
baby solids,br,5,17,32,FIT,catalogo 120 alimentos por idade/categoria com preparo
baby weaning,br,25,5,24,FIT,weaning alimentar — SERP e nossa categoria
babyplate,br,11,5,OUT,FIT,"competitor_brand mesma categoria (starting solids) + leitura generica ""prato do bebe"""
blw,br,48,19,37,FIT,termo exato do metodo que o app cobre — tips_screen: guia BLW/seguranca/quando comecar
blw 6 meses,br,5,5,3,FIT,catalogo 120 alimentos por idade/categoria com preparo — filtro 6 meses
blw baby,br,5,13,1,FIT,nosso brand + metodo — nucleo do app
blw baby introdução,br,5,9,3,FIT,brand+metodo+feature: diario de introducao alimentar (registro+reacao+meta 100)
blw bebê,br,5,17,OUT,FIT,metodo BLW pra bebe = exatamente o app
blw brasil,br,56,38,OUT,FIT,"competitor_brand BR (mesma categoria) + leitura generica ""BLW no Brasil"" — app pt-BR"
blw cortes,br,5,31,3,FIT,preparationTip por alimento = guia de cortes seguros
blw em português,br,5,5,OUT,FIT,app localizado pt — conteudo BLW em portugues
blw meals,br,6,5,23,FIT,refeicoes BLW = receitas + diario; mesma formula do subtitle da Solid Starts
blw método,br,5,18,OUT,FIT,tips_screen: guia BLW/seguranca/quando comecar (whatIsBLW)
blw primeiros alimentos,br,5,5,OUT,FIT,metodo + primeiros alimentos = catalogo 120 alimentos por idade/categoria com preparo
blw receitas,br,5,15,10,FIT,112 receitas por categoria (freemium)
blw tracker,br,5,13,7,FIT,nosso nome EN; tracker de BLW = diario de introducao alimentar (registro+reacao+meta 100)
blw tracker baby led,br,5,5,1,FIT,nosso display name — diario de introducao alimentar (registro+reacao+meta 100)
blw tradicional,br,5,5,OUT,FIT,"description: app cobre BLW, tradicional e misto"
checklist introdução alimentar,br,5,5,OUT,FIT,meta 100 alimentos + catalogo = checklist visual
começar introdução alimentar,br,5,5,OUT,FIT,tips_screen: guia BLW/seguranca/quando comecar (whenToStart)
comida 6 meses,br,5,87,OUT,FIT,catalogo/receitas por 6m
comida bebê,br,5,47,OUT,FIT,comida de bebe = catalogo+receitas
comida bebê 6,br,5,79,OUT,FIT,fragmento de comida bebe 6 meses
comida bebê 6 meses,br,5,75,OUT,FIT,catalogo/receitas por idade
comida bebê 7 meses,br,5,78,OUT,FIT,catalogo/receitas por idade
comida caseira bebê,br,5,9,OUT,FIT,receitas caseiras
comida de bebê,br,5,49,OUT,FIT,catalogo+receitas
como cortar alimentos bebê,br,5,30,OUT,FIT,preparationTip por alimento = guia de cortes seguros + tip howToCut
como fazer papinha,br,5,5,OUT,FIT,112 receitas por categoria (freemium)
controle alimentação bebê,br,5,34,OUT,FIT,diario de introducao alimentar (registro+reacao+meta 100)
cortes blw por idade,br,5,5,OUT,FIT,preparationTip por alimento = guia de cortes seguros + idade minima por alimento
cortes seguros,br,5,8,2,FIT,preparationTip por alimento = guia de cortes seguros
cortes seguros bebê,br,5,28,OUT,FIT,preparationTip por alimento = guia de cortes seguros
diário alimentar bebê,br,5,34,OUT,FIT,diario de introducao alimentar (registro+reacao+meta 100)
diário introdução alimentar,br,5,5,OUT,FIT,diario de introducao alimentar (registro+reacao+meta 100)
