Keyword,Store,Pop,Diff,Rank,Verdict,Reason
100 foods baby,us,5,7,175,FIT,"meta ""primeiros 100 alimentos"" e literalmente a feature central do diario"
100 foods before one,us,5,23,OUT,FIT,meta 100 alimentos — feature exata
100 foods checklist,us,5,7,200,FIT,meta 100 alimentos com progresso = checklist
allergen introduction tracker,us,5,15,OUT,FIT,flag alergenico + reacao por nivel no diario — introducao de alergenicos e feature
allergen tracker baby,us,5,37,76,FIT,flag alergenico + reacao por nivel no diario
baby eating tracker,us,5,53,OUT,FIT,eating = solidos; diario de introducao alimentar (registro+reacao+meta 100)
baby first foods,us,8,15,141,FIT,catalogo 120 alimentos por idade/categoria com preparo + meta 100
baby food,us,9,44,192,FIT,baby food = comida de bebe; catalogo+receitas entregam
baby food app,us,5,23,OUT,FIT,"token 'app' proibido (memoria do lab) — intencao FIT, mas nunca compor o token"
baby food recipes 6 months,us,5,13,114,FIT,112 receitas por categoria (freemium) por idade
baby led weaning,us,9,15,16,FIT,expansao exata do nosso nome EN
baby led weaning family meals,us,5,9,23,FIT,tips_screen: guia BLW/seguranca/quando comecar (familyMeals) + receitas
baby led weaning food list,us,5,11,19,FIT,catalogo 120 alimentos por idade/categoria com preparo
baby meal log,us,5,17,47,FIT,diario de introducao alimentar (registro+reacao+meta 100)
baby puree recipes,us,5,11,99,FIT,112 receitas por categoria (freemium)
baby solid food,us,5,40,243,FIT,catalogo 120 alimentos por idade/categoria com preparo
baby weaning,us,26,17,22,FIT,weaning alimentar — SERP e nossa categoria
baby weaning and recipes,us,6,19,34,FIT,competitor_brand (MadeForMums) mesma categoria + leitura generica = receitas de weaning
baby weaning app,us,5,23,80,FIT,"token 'app' proibido (memoria do lab) — intencao FIT, mas nunca compor o token"
baby's first foods,us,5,9,83,FIT,catalogo 120 alimentos por idade/categoria com preparo
babyplate starting solids,us,8,19,115,FIT,competitor_brand mesma categoria
blw,us,19,17,30,FIT,termo exato do metodo que o app cobre — tips_screen: guia BLW/seguranca/quando comecar
blw app,us,5,49,225,FIT,"token 'app' proibido (memoria do lab) — intencao FIT, mas nunca compor o token"
blw first foods,us,5,11,32,FIT,catalogo 120 alimentos por idade/categoria com preparo
blw food list,us,5,13,35,FIT,catalogo 120 alimentos por idade/categoria com preparo = a lista que o buscador quer
blw food tracker,us,5,5,48,FIT,diario de introducao alimentar (registro+reacao+meta 100)
blw for beginners,us,5,11,15,FIT,"tips_screen: guia BLW/seguranca/quando comecar (quando comecar, o que e BLW)"
blw ideas,us,39,19,OUT,FIT,"competitor_brand (Baby Led Weaning - BLW ""BLW ideas & Recipes"") + leitura generica ""ideias BLW"" existe = receitas/catalogo"
blw meal ideas,us,5,38,OUT,FIT,112 receitas por categoria (freemium)
blw meals,us,8,37,167,FIT,refeicoes BLW = receitas + diario; mesma formula do subtitle da Solid Starts
blw meals tracker,us,5,11,147,FIT,diario de introducao alimentar (registro+reacao+meta 100)
blw solids,us,5,11,32,FIT,BLW + solidos = nucleo do app
choking hazards baby,us,5,23,250,FIT,lista de riscos = alimentos proibidos + cortes seguros (prevencao e exatamente o que entregamos)
easy baby food recipes,us,5,11,190,FIT,112 receitas por categoria (freemium)
finger food ideas baby,us,5,7,OUT,FIT,preparationTip por alimento = guia de cortes seguros (bastao/palito = finger foods) + receitas
finger food recipes,us,5,11,OUT,FIT,112 receitas por categoria (freemium) + cortes finger-food
first food tracker,us,5,19,OUT,FIT,diario de introducao alimentar (registro+reacao+meta 100)
first foods allergens,us,5,9,240,FIT,flag alergenico + reacao por nivel no diario
