Term,Verdict,Reason,Inventory Feature (or NOT-list item)
plano alimentar,MISMATCH,buscador quer plano/planejamento de dieta; app não planeja nada,NOT-list: sem cardápio/meal planner
alimentação complementar,FIT,termo técnico PT pra introdução alimentar — é o app inteiro,App inteiro = guia+diário de introdução alimentar
baby food,FIT,SERP US/BR = nossa categoria; guia+diário de comida de bebê,App inteiro = guia+diário de introdução alimentar
baby tracker,MISMATCH,categoria = tracker de recém-nascido (sono/fralda/mamada),NOT-list: sem sono/fralda/mamada/crescimento
baby foods tracker,FIT,tracker de alimentos do bebê é exatamente o diário,Diário alimentar grátis (reação/aceitação/foto)
baby food recipes,PARTIAL,quer receitas; existem 112 mas maioria premium,"Receitas: 112, mas só 2 grátis/categoria (premium)"
comida para bebê,FIT,comida de bebê = guia de alimentos + diário,Guia 120 alimentos por idade + preparo
alimentação do bebê,FIT,alimentação do bebê 6m-2a é o escopo do app,App inteiro = guia+diário de introdução alimentar
alimentação infantil,PARTIAL,"""infantil"" cobre crianças maiores; app só 6m-2a",App inteiro = guia+diário de introdução alimentar
primeiros alimentos,FIT,guia de primeiros alimentos por idade,Guia 120 alimentos por idade + preparo
blw meals,FIT,refeições BLW: guia + receitas + diário,App inteiro = guia+diário de introdução alimentar
blw brasil,PARTIAL,"marca do incumbente BLW Brasil; leitura genérica ""BLW em PT"" existe — só composição",NOT-list: marca de terceiro
blw ideas,FIT,ideias BLW = guia de 120 alimentos com preparo (grátis),Guia 120 alimentos por idade + preparo
blw recipes,PARTIAL,receitas BLW existem mas maioria premium,"Receitas: 112, mas só 2 grátis/categoria (premium)"
blw alimentação bebê,FIT,descritivo exato do app,App inteiro = guia+diário de introdução alimentar
blw e alimentação infantil,FIT,"descritivo do escopo (subtitle de concorrente, mas genérico)",App inteiro = guia+diário de introdução alimentar
receitas blw,PARTIAL,receitas BLW existem mas maioria premium,"Receitas: 112, mas só 2 grátis/categoria (premium)"
método blw,FIT,"guia do método BLW (o que é, cortes, segurança)","Tips: quando começar, segurança, engasgo vs gag"
cortes blw,FIT,corte seguro por alimento é feature central,Cortes seguros por alimento + tip howToCut
cortes de alimentos,FIT,preparo/corte por alimento no guia,Cortes seguros por alimento + tip howToCut
desengasgo bebê,PARTIAL,app previne e ensina a reconhecer engasgo; não ensina a manobra,NOT-list: não ensina manobra de desengasgo
manobra de desengasgo,MISMATCH,quer instrução de primeiros socorros; tip manda fazer curso,NOT-list: não ensina manobra de desengasgo
introducao alimentar,FIT,core do app (grafia sem acento),App inteiro = guia+diário de introdução alimentar
intro alimentar,FIT,abreviação do core do app,App inteiro = guia+diário de introdução alimentar
introdução alimentar do bebê,FIT,core do app,App inteiro = guia+diário de introdução alimentar
introdução alimentar e blw,FIT,core do app,App inteiro = guia+diário de introdução alimentar
cardápio introdução alimentar,MISMATCH,quer cardápio/menu pronto; app não tem planner,NOT-list: sem cardápio/meal planner
receitas introdução alimentar,PARTIAL,receitas existem mas maioria premium,"Receitas: 112, mas só 2 grátis/categoria (premium)"
introdução alimentar 6 meses,FIT,guia por idade começa nos 6 meses,Guia 120 alimentos por idade + preparo
introdução alimentar participativa,FIT,sinônimo PT de BLW — é o app,App inteiro = guia+diário de introdução alimentar
cardápio bebê 6 meses,MISMATCH,quer cardápio/menu pronto; sem planner,NOT-list: sem cardápio/meal planner
receitas para bebê de 6 meses,PARTIAL,receitas por fase existem mas maioria premium,"Receitas: 112, mas só 2 grátis/categoria (premium)"
papinha alergia,FIT,alergia na alimentação do bebê: alergênicos + reações no diário,Alergênicos: tela dedicada + reação no diário
papinhas,FIT,"SERP ""papinha"" BR = 100% apps de introdução alimentar (papinha=comida de bebê)",App inteiro = guia+diário de introdução alimentar
papinhas para bebês,FIT,idem papinha — SERP é nossa categoria,App inteiro = guia+diário de introdução alimentar
receitas de papinha,PARTIAL,intent explícito de receita de purê; receitas BLW-first e premium,"NOT-list: receitas BLW-first, ~2 purês em 112"
papinha de bebê,FIT,papinha=comida de bebê no App Store (SERP override),App inteiro = guia+diário de introdução alimentar
papinha para bebê,FIT,idem — SERP é nossa categoria,App inteiro = guia+diário de introdução alimentar
papinha salgada,PARTIAL,quer receita de papinha salgada específica; quase não há purês,"NOT-list: receitas BLW-first, ~2 purês em 112"
cardápio semanal,MISMATCH,não existe cardápio semanal no app (promessa da description sendo corrigida na 1.5.2),NOT-list: sem cardápio/meal planner
receitas saudáveis,MISMATCH,"receitas genéricas de cozinha (TudoGostoso etc.), não bebê","Receitas: 112, mas só 2 grátis/categoria (premium)"
solid starts baby first foods,PARTIAL,frase = nome completo da marca Solid Starts,NOT-list: marca de terceiro
solid starts,PARTIAL,"marca do incumbente US; leitura genérica ""começar sólidos"" existe — só composição",NOT-list: marca de terceiro
solid start,PARTIAL,singular da marca; leitura genérica existe,NOT-list: marca de terceiro
starting solids,FIT,começar sólidos = guia quando começar + alimentos por idade,App inteiro = guia+diário de introdução alimentar
start solids,FIT,idem starting solids,App inteiro = guia+diário de introdução alimentar
baby led weaning,FIT,nome EN do método — é o app,App inteiro = guia+diário de introdução alimentar
baby weaning,FIT,weaning EN = introdução de sólidos,App inteiro = guia+diário de introdução alimentar
baby led weaning app,FIT,app de BLW literalmente,App inteiro = guia+diário de introdução alimentar
alergia,PARTIAL,"palavra solta polissêmica (alergia adulta, rinite…)",Alergênicos: tela dedicada + reação no diário
baby meals recipes,PARTIAL,receitas de refeições; maioria premium,"Receitas: 112, mas só 2 grátis/categoria (premium)"
bebê de nutri,MISMATCH,marca de app concorrente,NOT-list: marca de terceiro
comida de bebé,FIT,ES pra comida de bebê; app localizado es-ES,Guia 120 alimentos por idade + preparo
comidas,PARTIAL,palavra solta genérica (comida adulta),composition-feeder
controle da introdução,FIT,controle/acompanhamento da introdução = diário,Diário alimentar grátis (reação/aceitação/foto)
desenvolvimento do bebê,MISMATCH,quer marcos/crescimento do bebê; app não acompanha desenvolvimento,NOT-list: sem sono/fralda/mamada/crescimento
importe receitas em segundos,MISMATCH,quer importador de receitas web; não existe,NOT-list: sem IA/importar receitas/lista mercado
little foodie,MISMATCH,marca de app concorrente,NOT-list: marca de terceiro
nutrição materno infantil,MISMATCH,inclui nutrição materna; app não cobre mãe,NOT-list: sem conteúdo de lactância/amamentação
plano alimentar lista mercado,MISMATCH,quer planner + lista de mercado; nenhum dos dois,NOT-list: sem IA/importar receitas/lista mercado
receita,PARTIAL,palavra solta genérica de cozinha,composition-feeder
receitas,PARTIAL,palavra solta genérica; receitas do app são premium,composition-feeder
receitas com ia,MISMATCH,quer IA de receitas; app não tem IA,NOT-list: sem IA/importar receitas/lista mercado
receitas e contador,MISMATCH,quer contador (calorias/crochê); não existe,NOT-list: sem IA/importar receitas/lista mercado
recetas para bebé,PARTIAL,receitas bebê em ES; existem mas premium,"Receitas: 112, mas só 2 grátis/categoria (premium)"
salve receitas,MISMATCH,quer salvar receitas da web; não existe,NOT-list: sem IA/importar receitas/lista mercado
seu registro do bebê,PARTIAL,registro geral do bebê; nós só registramos alimentação,NOT-list: sem sono/fralda/mamada/crescimento
tudogostoso receitas,MISMATCH,marca TudoGostoso,NOT-list: marca de terceiro
blw baby,FIT,nosso próprio nome + categoria,App inteiro = guia+diário de introdução alimentar
papinha caseira,FIT,comida de bebê caseira; SERP=nossa categoria; guia de preparo caseiro,Guia 120 alimentos por idade + preparo
desengasgo,PARTIAL,previne/reconhece engasgo; não ensina manobra de resgate,NOT-list: não ensina manobra de desengasgo
cortes seguros,FIT,feature central: corte seguro por alimento,Cortes seguros por alimento + tip howToCut
papinha,FIT,SERP BR = 100% apps de introdução alimentar (nós #2),App inteiro = guia+diário de introdução alimentar
