Keyword,Fit,Pop,Diff,RankAtual,TopIncumbents(ratings),Winnability,TargetPosD28,RationaleCurta
weaning,FIT,14,13,4,MadeForMums 9; Drama Labs 689; nos #3 (SS 43368 so em #9),DOMINATE,top 3 (defender),ja #3-4; SS so em #9; name en exato — crown jewel US
starting solids,FIT,29,19,22,Solid Starts 43368; Palina 145; Drama 689,CLIMB,top 12-15,pop 29; ja #22; kw 1x — promover peso; SS 43k trava o #1
baby weaning,FIT,26,17,22,MadeForMums 9; Drama Labs 689; nos #3 (SS 43368 so em #9),CLIMB,top 12,pop 26; ja #22-23; SERP fraca fora SS; name ja tem baby+weaning — teto e sinal
blw,FIT,19,17,30,Solid Starts 43368; Drama Labs 689; BLW Meals 308,CLIMB,top 20,"pop 19; ja #30-32 com BLW no name; massa (SS 43k, Drama 689, fleet BLW SOCIAL) segura o topo"
baby led weaning,FIT,9,15,16,Solid Starts 43368; Drama Labs 689; BLW Meals 308,CLIMB,top 10,pop 9; ja #16; name exato; #7-10 da SERP tem 0 ratings
solid start,FIT,9,17,79,Solid Starts 43368; Palina 145; Drama 689,CLIMB,top 25,"rank medio, diff baixo"
baby weaning and recipes,FIT,6,19,34,MadeForMums 9; Drama Labs 689; nos #3 (SS 43368 so em #9),CLIMB,top 18,ja #34; brand MadeForMums fraca (9 ratings)
blw for beginners,FIT,5,11,15,Solid Starts 43368; Drama Labs 689; BLW Meals 308,CLIMB,top 8,ja #15 diff 11; SERP rasa
baby led weaning food list,FIT,5,11,19,Solid Starts 43368; Drama Labs 689; BLW Meals 308,CLIMB,top 10,ja #19 diff 11
baby led weaning family meals,FIT,5,9,23,Solid Starts 43368; Drama Labs 689; BLW Meals 308,CLIMB,top 12,ja #23; brand-longtail do 101 Before One (95 ratings)
blw first foods,FIT,5,11,32,Solid Starts 43368; Drama Labs 689; BLW Meals 308,CLIMB,top 15,ja #32; name+subtitle
blw solids,FIT,5,11,32,Solid Starts 43368; Drama Labs 689; BLW Meals 308,CLIMB,top 15,ja #32
blw food list,FIT,5,13,35,Solid Starts 43368; Drama Labs 689; BLW Meals 308,CLIMB,top 18,ja #35 diff 13
weaning guide,FIT,5,7,37,MadeForMums 9; Drama Labs 689; nos #3 (SS 43368 so em #9),CLIMB,top 18,ja #37 diff 7
starting solids at 6 months,FIT,5,11,43,Solid Starts 43368; Palina 145; Drama 689,CLIMB,top 20,ja #43 diff 11
baby meal log,FIT,5,17,47,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 25,ja #47 diff 17
blw food tracker,FIT,5,5,48,Solid Starts 43368; Drama Labs 689; BLW Meals 308,CLIMB,top 25,ja #48 diff 5
puree tracker,FIT,5,5,51,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 25,ja #51 diff 5; kw puree ja la
solids log,FIT,5,17,53,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 25,ja #53 diff 17; subtitle log
allergen introduction tracker,FIT,5,15,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
finger food ideas baby,FIT,5,7,OUT,Solid Starts 43368; Palina 145; Drama 689,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
finger food recipes,FIT,5,11,OUT,Solid Starts 43368; Palina 145; Drama 689,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
food allergen log,FIT,5,5,OUT,Solid Starts 43368; Palina 145; Drama 689,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
food introduction tracker,FIT,5,5,OUT,Solid Starts 43368; Palina 145; Drama 689,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
new food tracker,FIT,5,9,OUT,Solid Starts 43368; Palina 145; Drama 689,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
solid food introduction,FIT,5,9,OUT,Solid Starts 43368; Palina 145; Drama 689,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
