Core Word,Long Tail,Source,Popularity,Difficulty,Our Ranking,Apps in Ranking,Note
allergen,allergen tracker,natural-query pattern en 'X tracker',5,42,1000,250,composição livre (todos os tokens já em campo)
allergen,baby allergen tracker,natural-query pattern en 'baby X tracker',5,23,82,247,composição livre (todos os tokens já em campo)
allergen,food allergy tracker,natural-query pattern en query real de alergia,5,21,1000,248,precisa entrar em campo: allergy+food
baby,baby first,extract_competitors_keywords 'baby led weaning' us,8,47,1000,220,composição livre (todos os tokens já em campo)
baby,baby app,extract_competitors_keywords 'baby led weaning' us,7,72,1000,248,precisa entrar em campo: app
blw,blw ideas,extract_competitors_keywords 'starting solids' us,39,19,1000,69,precisa entrar em campo: ideas
blw,blw diary,stage-1 competitor SERP n-gram (candidate_terms tsv) us — BLW Diary name,5,38,1000,248,precisa entrar em campo: diary
blw,blw feeding,stage-1 competitor SERP n-gram (candidate_terms tsv) us — HeySolids subtitle,5,9,15,248,composição livre (todos os tokens já em campo)
blw,blw recipes and more,stage-1 competitor SERP n-gram (candidate_terms tsv) us — BLW Recipes App subtitle,5,17,1000,249,precisa entrar em campo: more
blw,blw recipes,natural-query pattern en 'X recipes',5,9,26,242,composição livre (todos os tokens já em campo)
blw,blw app,natural-query pattern en 'X app',5,49,80,250,precisa entrar em campo: app
blw,blw food ideas,natural-query pattern en 'X ideas',5,11,1000,248,precisa entrar em campo: food+ideas
feeding,baby feeding tracker,Astro get_keyword_suggestions app 6758321287 us,6,65,65,248,composição livre (todos os tokens já em campo)
feeding,infant feeding,natural-query pattern en 'infant X',5,44,1000,250,composição livre (todos os tokens já em campo)
feeding,baby feeding schedule,natural-query pattern en 'X schedule',5,53,1000,249,precisa entrar em campo: schedule
first,baby first foods,Astro get_keyword_suggestions app 6758321287 us,8,15,132,249,composição livre (todos os tokens já em campo)
food,baby food planner,stage-1 competitor SERP n-gram (candidate_terms tsv) us — Tocomo name,5,17,228,249,precisa entrar em campo: food+planner
food,baby foods and recipes,stage-1 competitor SERP n-gram (candidate_terms tsv) us — Baby Foods and Recipes name,5,11,127,241,composição livre (todos os tokens já em campo)
food,baby foods tracker,stage-1 competitor SERP n-gram (candidate_terms tsv) us — Baby Foods Tracker name,5,54,193,249,composição livre (todos os tokens já em campo)
food,baby meals recipes,stage-1 competitor SERP n-gram (candidate_terms tsv) us — Baby Food subtitle,5,21,1000,245,precisa entrar em campo: meals
food,baby food tracker,natural-query pattern en 'X tracker',7,50,1000,248,precisa entrar em campo: food
food,baby food app,natural-query pattern en 'X app',5,23,1000,248,precisa entrar em campo: app+food
food,baby food chart,natural-query pattern en 'X chart',5,23,187,248,precisa entrar em campo: chart+food
food,solid food tracker,natural-query pattern en 'X tracker',5,15,1000,250,precisa entrar em campo: food
food,baby solid food,natural-query pattern en composição solid+food,5,41,183,248,precisa entrar em campo: food
food,first foods for baby,natural-query pattern en 'X for baby',5,9,99,242,composição livre (todos os tokens já em campo)
food,baby food recipes homemade,stage-1 competitor SERP n-gram normalizado — 'Baby Food Recipes (Home-made)' name (Astro rejeita parênteses),5,19,1000,244,precisa entrar em campo: food+homemade
food,homemade baby food,natural-query pattern en 'homemade X' (equiv. do candidato com parênteses),5,9,220,239,precisa entrar em campo: food+homemade
log,baby food log,natural-query pattern en 'X log',5,47,83,248,precisa entrar em campo: food
meal,blw meals,extract_competitors_keywords 'baby led weaning' us,8,37,169,250,precisa entrar em campo: meals
meal,meal ideas,extract_competitors_keywords 'starting solids' us,6,54,1000,249,precisa entrar em campo: ideas
