Keyword,Fit,Pop,Diff,RankAtual,TopIncumbents(ratings),Winnability,TargetPosD28,RationaleCurta
blw baby,FIT,5,13,1,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),DOMINATE,#1 (defender),ja #1; blw+baby no name pt-BR
blw tracker baby led,FIT,5,5,1,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),DOMINATE,#1 (defender),ja #1; name pt + name en-US (led/tracker)
papinha caseira,FIT,5,5,1,Pippin 13; nos #2; resto 0-20,DOMINATE,#1 (defender),ja #1; papinha(sub)+caseira(kw)
receitas de papinha caseira,FIT,5,5,1,Pippin 13; nos #2; resto 0-20,DOMINATE,#1 (defender),ja #1; sub+kw
desengasgo,PARTIAL,5,5,1,SERP 6 resultados; nos #2; zero nicho,DOMINATE,#1 (defender),ja #1 zero competicao; intencao parcial (socorro)
cortes seguros,FIT,5,8,2,SERP 6 resultados; nos #2; zero nicho,DOMINATE,#1-2,"ja #2, SERP com 6 resultados"
papinha,FIT,5,5,2,Pippin 13; nos #2; resto 0-20,DOMINATE,#1-2,ja #2 atras de Pippin 13 ratings; subtitle sustenta
blw 6 meses,FIT,5,5,3,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),DOMINATE,top 3 (defender),ja #3; blw(name)+6 meses(kw)
blw baby introdução,FIT,5,9,3,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),DOMINATE,top 3 (defender),ja #3; 100% name
blw cortes,FIT,5,31,3,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),DOMINATE,top 3 (defender),ja #3; blw(name)+cortes(kw)
introdução alimentar 6 meses,FIT,5,5,3,BLW Brasil 1885; Pippin 13; Garfinho 350,DOMINATE,top 3 (defender),ja #3; name+kw 6 meses
introdução alimentar 7 meses,FIT,5,5,3,BLW Brasil 1885; Pippin 13; Garfinho 350,DOMINATE,top 3 (defender),ja #3; name compoe
papinha 6 meses,FIT,5,5,3,Pippin 13; nos #2; resto 0-20,DOMINATE,top 3 (defender),ja #3; kw exata
receitas 6 meses,FIT,5,5,3,Pippin 13; nos #2; resto 0-20,DOMINATE,top 3 (defender),ja #3; receitas(sub)+6 meses(kw)
introdução alimentar blw,FIT,5,11,4,BLW Brasil 1885; Pippin 13; Garfinho 350,DOMINATE,top 3 (defender),ja #4; 100% name
blw,FIT,48,19,37,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),CLIMB,top 20-25,"pop 48; BLW ja no name e so #37 — teto e sinal, nao campo; BLW SOCIAL domina"
introducao alimentar,FIT,40,19,34,BLW Brasil 1885; Pippin 13; Garfinho 350,CLIMB,top 20,"pop 40; variante sem acento, ja #34; mesmo SERP do head"
starting solids,FIT,28,5,18,Solid Starts 57; resto 0-20 ratings,CLIMB,top 8-10,pop 28 diff 5; SERP fraquissima (SS 57); indexa via kw en-US
baby weaning,FIT,25,5,24,Solid Starts 57; resto 0-20 ratings,CLIMB,top 10,pop 25 diff 5; incumbentes 0-57 ratings; frase ja no kw — promover peso
weaning,FIT,16,5,18,Solid Starts 57; resto 0-20 ratings,CLIMB,top 10,pop 16 diff 5; mesma SERP fraca; ja #18
solid starts baby first foods,FIT,9,17,20,Solid Starts 57; resto 0-20 ratings,CLIMB,top 12,ja #20; brand-longtail com SERP fraca
solid start,FIT,8,15,31,Solid Starts 57; resto 0-20 ratings,CLIMB,top 20,ja #31 diff 15
baby led weaning,FIT,7,9,17,Solid Starts 57; resto 0-20 ratings,CLIMB,top 10,ja #17; name en-US exato; incumbentes fracos no br
blw meals,FIT,6,5,23,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),CLIMB,top 12,ja #23; meals so via 'meal plan' kw en-US
receitas papinha,FIT,5,5,5,Pippin 13; nos #2; resto 0-20,CLIMB,top 3,ja #5; kw exata + subtitle
introdução alimentar receitas,FIT,5,11,6,BLW Brasil 1885; Pippin 13; Garfinho 350,CLIMB,top 3,ja #6; name+subtitle
led weaning,FIT,5,5,6,Solid Starts 57; resto 0-20 ratings,CLIMB,top 3,ja #6; fragmento do name en-US
receitas introdução alimentar,FIT,5,11,6,Pippin 13; nos #2; resto 0-20,CLIMB,top 5,ja top 10; consolidar com peso
baby introdução alimentar,FIT,5,9,7,BLW Brasil 1885; Pippin 13; Garfinho 350,CLIMB,top 3-5,ja #7; name
blw tracker,FIT,5,13,7,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),CLIMB,top 3-5,ja #7; name pt + name en-US
baby introdução,FIT,5,9,8,BLW Brasil 1885; Pippin 13; Garfinho 350,CLIMB,top 5,ja #8; name
blw receitas,FIT,5,15,10,BLW Brasil 1885; Mundo BLW 228; Garfinho 350 (BLW SOCIAL 4/6 top),CLIMB,top 5,ja #10; name+subtitle
weaning tracker,FIT,5,5,10,Solid Starts 57; resto 0-20 ratings,CLIMB,top 5,ja #10; name en-US
introdução,PARTIAL,5,13,12,BLW Brasil 1885; Pippin 13; Garfinho 350,CLIMB,top 8,ja #12; feeder polissemico mas gratuito (name)
introdução alimentar,FIT,5,21,17,BLW Brasil 1885; Pippin 13; Garfinho 350,CLIMB,top 10,"head PT no name (7x); ja #17; empurrar com CR/sinais, sem mexer no name"
weaning recipes,FIT,5,5,20,Solid Starts 57; resto 0-20 ratings,CLIMB,top 10,ja #20; kw en-US
start solid food,FIT,5,15,28,Solid Starts 57; resto 0-20 ratings,CLIMB,top 15,ja #28; compoe do en-US
baby solids,FIT,5,17,32,Solid Starts 57; resto 0-20 ratings,CLIMB,top 20,ja #32; compoe en-US
baby first foods,FIT,5,24,34,Solid Starts 57; resto 0-20 ratings,CLIMB,top 20,ja #34; name+subtitle en-US
