Term,Fit,Pop,Diff,Our Rank,Top3 Owner (ratings),Score,Target Position D28,Protecting/Needed Tokens
weaning,FIT,14,13,4,MadeForMums 9r / Drama Labs 689r / Katie Ferraro 0r (SolidStarts só #5),DOMINATE,#1-2,"name: Weaning — MAIOR prêmio US (pop 14, top3 fraco)"
blw feeding,FIT,5,9,15,fracos,DOMINATE,top 8,name: BLW + kw: feeding
blw recipes,PARTIAL,5,9,26,fracos no termo,DOMINATE,top 10,name: BLW + kw: recipes
baby led weaning recipes,PARTIAL,5,15,17,SolidStarts 43k / Drama 689r / fracos,DOMINATE,top 8,name + kw: recipes
alimentación complementaria,FIT,5,15,3,BLW Ideas 34r US / fracos,DOMINATE,top 3,es-MX name (cross-locale US)
introdução alimentar,FIT,5,11,10,fracos na loja US,DOMINATE,top 5,indexação cross-locale; proteger campos atuais
blw ideas,FIT,39,19,unranked,BLW Ideas 34r US (marca fraca aqui) / SolidStarts 43k / Peque Ideas 2r,CLIMB,top 10-15 (precisa token),"FALTA kw: ideas — pop 39, aposta mais valiosa do US"
starting solids,FIT,29,19,18,SolidStarts 43k / BabySolids FT 111r / 101beforeone 95r,CLIMB,#8-12,kw: starting solids (front-load) + sub stem
baby weaning,FIT,26,17,24,SolidStarts 43424r / MadeForMums 9r / Drama Labs 689r,CLIMB,#10-15,name: Baby+Weaning (meio de SERP fraco)
blw,FIT,19,17,28,BLW Meals 308r / SolidStarts 43k / BLW Brasil 110r,CLIMB,#15-22,name: BLW
baby led weaning,FIT,9,15,17,SolidStarts 43424r / BLW Meals 308r / Drama Labs 689r,CLIMB,#8-12,name completo
baby first foods,FIT,8,15,132,SolidStarts brand + mid,CLIMB,#60-100,sub: First Foods (3× já aplicado; subir = sinais)
start solids,FIT,6,17,65,mid,CLIMB,#20-40,kw/sub stems
baby weaning and recipes,PARTIAL,6,19,32,MadeForMums 9r (nome exato),CLIMB,top 10,name + kw: recipes
baby foods and recipes,FIT,5,11,127,~241 apps no SERP,CLIMB,top 30,-
solid food tracker,FIT,5,15,unranked,fracos,CLIMB,#30-60,tokens presentes
first foods for baby,FIT,5,9,99,mid,CLIMB,#40-70,sub tokens
6 month baby food,FIT,5,9,107,mid,CLIMB,#40-80,kw: 6 month + food?
baby nutrition,PARTIAL,5,17,87,mid,CLIMB,#40-60,kw: nutrition
baby solids food tracker,FIT,5,39,68,~248 apps no SERP,CLIMB,top 30,-
track solids,FIT,5,15,unranked,fracos,CLIMB,#30-60,name Tracker stem + solids stem
starting food,FIT,5,13,unranked,fracos,CLIMB,#30-60,stems
start solid food,FIT,5,17,119,~249 apps no SERP,CLIMB,top 30,-
weaning guide,FIT,5,7,35,fracos,CLIMB,top 10 (precisa token),name: Weaning + FALTA kw: guide
when to start solids,FIT,5,9,241,~249 apps no SERP,CLIMB,top 30,-
recetas para bebé,PARTIAL,5,7,unranked,~149 apps no SERP,CLIMB,top 30,-
first foods,FIT,5,11,unranked,~248 apps no SERP,CLIMB,top 30,-
6 month,PARTIAL,5,21,42,mid,CLIMB,#20-30,kw: 6 month
solid starts,PARTIAL,61,40,46,SolidStarts LLC 43424r 4.9 (MARCA navegacional) / Drama 689r / Lovevery 13k,LOTTERY,#30-46 (manter),tokens ficam (protegem comps); head em si inganhável
feeding,PARTIAL,13,56,unranked,heads tracker bebê,LOTTERY,—,feeder
infant,PARTIAL,13,47,unranked,heads,LOTTERY,—,"kw live, feeder"
solid start,PARTIAL,9,17,72,marca,LOTTERY,#40-70,—
baby first,PARTIAL,8,47,unranked,diff 47,LOTTERY,—,—
blw meals,FIT,8,37,169,BLW Meals 308r (marca),LOTTERY,—,—
toddler,PARTIAL,8,78,unranked,heads kids,LOTTERY,—,kw: toddler = feeder barato já pago
baby food tracker,FIT,7,50,unranked,diff 50,LOTTERY,—,—
nutrition,PARTIAL,7,70,unranked,heads dieta,LOTTERY,—,feeder
baby feeding tracker,FIT,6,65,65,"diff 65, trackers grandes",LOTTERY,—,—
baby food recipes,PARTIAL,6,17,214,SolidStarts 43k / Home-made 223r / Drama 689r,LOTTERY,—,feature premium-gated; kw recipes fica só como feeder
solid starts free,PARTIAL,6,17,59,marca + free,LOTTERY,—,—
solid starts baby first foods,PARTIAL,6,17,61,nome completo da marca,LOTTERY,—,—
allergen tracker,PARTIAL,5,42,unranked,diff 42,LOTTERY,—,kw allergen = feeder
blw diary,FIT,5,38,unranked,diff 38,LOTTERY,—,—
blw recipes and more,PARTIAL,5,17,unranked,~249 apps no SERP,LOTTERY,—,-
blw app,FIT,5,49,80,diff 49,LOTTERY,—,—
infant feeding,FIT,5,44,unranked,diff 44,LOTTERY,—,—
baby foods tracker,FIT,5,54,193,diff 54,LOTTERY,—,—
baby meals recipes,PARTIAL,5,21,unranked,~245 apps no SERP,LOTTERY,—,-
baby food app,FIT,5,23,unranked,~248 apps no SERP,LOTTERY,—,-
baby food chart,PARTIAL,5,23,187,~248 apps no SERP,LOTTERY,—,-
baby solid food,FIT,5,41,183,diff 41,LOTTERY,—,—
baby food log,FIT,5,47,83,diff 47,LOTTERY,—,—
baby meal ideas,FIT,5,23,234,~249 apps no SERP,LOTTERY,—,-
toddler meal ideas,PARTIAL,5,19,unranked,~250 apps no SERP,LOTTERY,—,-
blw brasil alimentação bebês,PARTIAL,5,7,unranked,marca BLW Brasil,LOTTERY,—,—
blw meals tracker schedules,PARTIAL,5,15,unranked,subtitle da SolidStarts,LOTTERY,—,—
receitas,PARTIAL,5,37,unranked,~247 apps no SERP,LOTTERY,—,-
puree,PARTIAL,5,13,60,desconhecido/mid,LOTTERY,"#60 hoje, sem retorno",kw live #60 com pop 5 = ~zero tráfego → CANDIDATO A CORTE
allergen,PARTIAL,5,37,unranked,~248 apps no SERP,LOTTERY,—,-
baby allergen tracker,FIT,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
food allergy tracker,PARTIAL,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
blw food ideas,FIT,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
baby food recipes homemade,PARTIAL,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
homemade baby food,PARTIAL,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
6 month old baby food,FIT,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
baby puree,PARTIAL,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
solids for baby,FIT,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
toddler food tracker,PARTIAL,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
toddler recipes,PARTIAL,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
baby food recipes (home-made),PARTIAL,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
tracker,PARTIAL,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
log,PARTIAL,,,n/med,não medido,LOTTERY,— (não medido no Astro),-
food tracker,PARTIAL,63,80,unranked,MyFitnessPal-class,UNWINNABLE,—,não gastar
baby,PARTIAL,60,78,unranked,heads gigantes,UNWINNABLE,—,não gastar
recipes,PARTIAL,53,68,unranked,heads de receita,UNWINNABLE,—,não gastar
meal,PARTIAL,9,75,unranked,heads,UNWINNABLE,—,não gastar
baby app,PARTIAL,7,72,unranked,heads,UNWINNABLE,—,—
