Keyword,Fit,Pop,Diff,RankAtual,TopIncumbents(ratings),Winnability,TargetPosD28,RationaleCurta
alimentacion complementaria,FIT,7,11,8,BLW Ideas 874; Solid Starts 317; resto <60,DOMINATE,top 3 (defender),ja #8 na SERP conferida / #8 astro; name exato sem acento
alimentación complementaria,FIT,6,11,4,BLW Ideas 874; Solid Starts 317; resto <60,DOMINATE,top 3 (defender),ja #4; name exato; lider BLW Ideas 874
alimentación complementaria bebé,FIT,5,7,2,BLW Ideas 874; Solid Starts 317; resto <60,DOMINATE,#1-2 (defender),ja #2; name+subtitle
alimentación complementaria recetas,FIT,5,7,2,BLW Ideas 874; Solid Starts 317; resto <60,DOMINATE,#1-2 (defender),ja #2; name+kw
mi alimentación complementaria,FIT,5,7,4,BLW Ideas 874; Solid Starts 317; resto <60,DOMINATE,top 3 (defender),"ja #4; subtitle do Drama Labs, SERP rasa"
blw,FIT,47,9,46,BLW Ideas 874; SS 317 (BLW SOCIAL 4/10 top),CLIMB,top 25-30,pop 47 diff 9; ja #46 com blw no subtitle — fleet BLW SOCIAL 4/10; teto e sinal (1 rating nosso)
baby weaning,FIT,25,7,18,SS 317; Drama 34; resto <30,CLIMB,top 10,pop 25 diff 7; ja #18; incumbentes <35 ratings fora SS 317
weaning,FIT,16,7,14,SS 317; Drama 34; resto <30,CLIMB,top 8,pop 16 diff 7; ja #14; SERP fraquissima (SS 317 topo)
baby led weaning,FIT,7,9,22,SS 317; Drama 34; resto <30,CLIMB,top 12,ja #22; kw exata
blw meals,FIT,6,7,26,BLW Ideas 874; SS 317 (BLW SOCIAL 4/10 top),CLIMB,top 15,ja #26
recetas blw bebé,FIT,5,9,8,BLW Ideas 874; SS 317 (BLW SOCIAL 4/10 top),CLIMB,top 4,ja #8
recetas papillas bebé,FIT,5,7,8,BLW Ideas 874; Solid Starts 317; resto <60,CLIMB,top 4,ja #8
recetas de papillas,FIT,5,7,9,BLW Ideas 874; Solid Starts 317; resto <60,CLIMB,top 5,ja #9; papillas(sub)+recetas(kw)
baby led weaning español,FIT,5,9,10,SS 317; Drama 34; resto <30,CLIMB,top 5,ja #10 diff 9
blw recetas,FIT,5,11,11,BLW Ideas 874; SS 317 (BLW SOCIAL 4/10 top),CLIMB,top 6,ja #11; subtitle+kw
destete bebé,PARTIAL,5,9,11,BLW Ideas 874; Solid Starts 317; resto <60,CLIMB,top 6,ja #11; kw destete — PARTIAL (desmame de peito)
blw bebé,FIT,5,9,12,BLW Ideas 874; SS 317 (BLW SOCIAL 4/10 top),CLIMB,top 6,ja #12 diff 9; subtitle
alergias alimentarias bebé,FIT,5,5,OUT,"n/d (nicho pulverizado, <100 ratings tipico)",CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
alimentación complementaria 6 meses,FIT,5,5,OUT,BLW Ideas 874; Solid Starts 317; resto <60,CLIMB,top 10 se token entrar,OUT hoje; diff<=15 e SERP de nicho fraca — ganhavel por composicao
